timestamp,waist_yaw,waist_roll,waist_pitch,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,left_elbow,left_wrist_roll,left_wrist_pitch,left_wrist_yaw,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw,right_elbow,right_wrist_roll,right_wrist_pitch,right_wrist_yaw,waist_yaw_vel,waist_roll_vel,waist_pitch_vel,left_shoulder_pitch_vel,left_shoulder_roll_vel,left_shoulder_yaw_vel,left_elbow_vel,left_wrist_roll_vel,left_wrist_pitch_vel,left_wrist_yaw_vel,right_shoulder_pitch_vel,right_shoulder_roll_vel,right_shoulder_yaw_vel,right_elbow_vel,right_wrist_roll_vel,right_wrist_pitch_vel,right_wrist_yaw_vel,left_thumb_rot, left_thumb_prox, left_thumb_dist, left_middle_prox, left_middle_dist, left_index_prox, left_index_dist,right_thumb_rot, right_thumb_prox, right_thumb_dist, right_middle_prox, right_middle_dist, right_index_prox, right_index_dist
17.438000,-0.401610,0.000000,0.000000,-0.147777,0.132929,0.472646,1.497657,-1.467924,0.048520,-0.395414,-0.116798,-0.145453,0.277639,0.787519,1.989933,0.070433,-0.799342,0.299978,0.000000,0.000000,0.128854,-0.408039,0.000000,-0.012272,0.003068,-0.008836,-0.004909,-0.076699,0.300660,0.897379,0.004602,-0.013806,-0.008836,0.000000,0.149241,0.980409,1.486507,-0.039624,-0.355302,-0.035123,-0.069800,0.254690,-1.052153,-1.466903,-0.023487,-0.015046,0.012758,-0.031602
17.440000,-0.401141,0.000000,0.000000,-0.147586,0.132294,0.472658,1.497633,-1.467912,0.048535,-0.395414,-0.116906,-0.145021,0.279256,0.787495,1.989957,0.070433,-0.799296,0.272552,0.000000,0.000000,0.134990,-0.394233,0.007670,-0.015340,0.003068,0.010799,-0.001963,-0.078233,0.279185,0.934194,0.003068,-0.003068,-0.000982,0.022580,0.149241,0.980409,1.486507,-0.039624,-0.355302,-0.035123,-0.069800,0.254690,-1.052153,-1.466903,-0.023487,-0.015046,0.012758,-0.031602
17.442000,-0.400659,0.000000,0.000000,-0.147442,0.131659,0.472646,1.497621,-1.467900,0.048535,-0.395407,-0.117014,-0.144554,0.281042,0.787483,1.989957,0.070425,-0.799265,0.301693,0.000000,0.000000,0.127320,-0.397301,0.000000,-0.013806,0.023010,-0.007854,0.010799,-0.085903,0.286854,0.995554,0.000000,-0.001534,-0.001963,0.030434,0.149241,0.980409,1.486507,-0.039624,-0.355302,-0.035123,-0.069800,0.254690,-1.052153,-1.466903,-0.023487,-0.015046,0.012758,-0.031602
17.444000,-0.399989,0.000000,0.000000,-0.147274,0.131024,0.472646,1.497609,-1.467900,0.048550,-0.395407,-0.117122,-0.144146,0.282744,0.787507,1.989957,0.070440,-0.799242,0.255410,0.000000,0.000000,0.128854,-0.397301,0.004602,-0.012272,0.006136,0.000982,-0.001963,-0.085903,0.271515,0.987884,0.013806,0.000000,0.019635,0.013744,0.149241,0.980409,1.486507,-0.039624,-0.355302,-0.035123,-0.069800,0.254690,-1.052153,-1.466903,-0.023487,-0.015046,0.012758,-0.031602
17.446000,-0.399306,0.000000,0.000000,-0.146975,0.130065,0.472646,1.497585,-1.467900,0.048550,-0.395399,-0.117278,-0.143475,0.285093,0.787459,1.989945,0.070417,-0.799227,0.263981,0.000000,0.000000,0.111981,-0.400369,0.000000,-0.009204,0.003068,-0.005890,0.000000,-0.073631,0.282252,0.943398,0.000000,0.000000,-0.014726,0.013744,0.149241,0.980409,1.486507,-0.039624,-0.355302,-0.035123,-0.069800,0.254690,-1.052153,-1.466903,-0.023487,-0.015046,0.012758,-0.031602
17.448000,-0.398851,0.000000,0.000000,-0.146819,0.129082,0.472646,1.497561,-1.467900,0.048558,-0.395399,-0.117374,-0.142852,0.287585,0.787448,1.989945,0.070425,-0.799227,0.260553,0.000000,0.000000,0.104311,-0.401903,0.007670,-0.018408,-0.001534,0.004909,0.000982,-0.069029,0.260777,0.990952,-0.004602,0.001534,-0.004909,-0.003927,0.149241,0.980409,1.486507,-0.039624,-0.355302,-0.035123,-0.069800,0.254690,-1.052153,-1.466903,-0.023487,-0.015046,0.012758,-0.031602
17.450000,-0.398342,0.000000,0.000000,-0.146663,0.128459,0.472646,1.497573,-1.467900,0.048558,-0.395407,-0.117445,-0.142445,0.289335,0.787471,1.989957,0.070433,-0.799219,0.296550,0.000000,0.000000,0.108913,-0.392699,0.006136,-0.006136,0.000000,0.008836,-0.005890,-0.061359,0.273049,1.001690,0.015340,0.004602,0.000000,0.003927,0.149241,0.980409,1.486507,-0.039624,-0.355302,-0.035123,-0.069800,0.254690,-1.052153,-1.466903,-0.023487,-0.015046,0.012758,-0.031602
17.452000,-0.397860,0.000000,0.000000,-0.146519,0.127788,0.472646,1.497525,-1.467912,0.048550,-0.395414,-0.117529,-0.141953,0.290977,0.787448,1.989957,0.070448,-0.799219,0.306835,0.000000,0.000000,0.105845,-0.404971,0.006136,-0.006136,-0.006136,0.003927,-0.004909,-0.061359,0.285320,0.986350,0.009204,0.009204,0.009817,0.001963,0.149241,0.980409,1.486507,-0.039624,-0.355302,-0.035123,-0.069800,0.254690,-1.052153,-1.466903,-0.023487,-0.015046,0.012758,-0.031602
17.454000,-0.397404,0.000000,0.000000,-0.146375,0.127153,0.472646,1.497513,-1.467912,0.048535,-0.395414,-0.117589,-0.141450,0.292787,0.787436,1.989945,0.070471,-0.799219,0.270838,0.000000,0.000000,0.110447,-0.404971,0.004602,-0.003068,-0.006136,0.000000,-0.001963,-0.053689,0.291456,0.998622,0.001534,-0.007670,0.012763,0.005890,0.149241,0.980409,1.486507,-0.039624,-0.355302,-0.035123,-0.069800,0.254690,-1.052153,-1.466903,-0.023487,-0.015046,0.012758,-0.031602
17.456000,-0.396722,0.000000,0.000000,-0.146232,0.126577,0.472646,1.497501,-1.467912,0.048543,-0.395407,-0.117661,-0.141006,0.294596,0.787436,1.989945,0.070494,-0.799219,0.296550,0.000000,0.000000,0.105845,-0.385029,0.006136,-0.019942,-0.003068,0.006872,0.000982,-0.039884,0.282252,1.059981,0.004602,-0.006136,0.013744,0.003927,0.149241,0.980409,1.486507,-0.039624,-0.355302,-0.035123,-0.069800,0.254690,-1.052153,-1.466903,-0.023487,-0.015046,0.012758,-0.031602
17.458000,-0.396266,0.000000,0.000000,-0.146016,0.125667,0.472646,1.497441,-1.467888,0.048535,-0.395407,-0.117793,-0.140323,0.296418,0.787423,1.989933,0.070509,-0.799219,0.289693,0.000000,0.000000,0.105845,-0.381961,0.001534,-0.035282,0.009204,-0.003927,-0.000982,-0.044485,0.279185,1.061515,0.001534,-0.015340,0.019635,-0.000982,0.149241,0.980409,1.486507,-0.039624,-0.355302,-0.035123,-0.069800,0.254690,-1.052153,-1.466903,-0.023487,-0.015046,0.012758,-0.031602
