timestamp,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,left_elbow,left_wrist_roll,left_wrist_pitch,left_wrist_yaw,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw,right_elbow,right_wrist_roll,right_wrist_pitch,right_wrist_yaw,left_shoulder_pitch_vel,left_shoulder_roll_vel,left_shoulder_yaw_vel,left_elbow_vel,left_wrist_roll_vel,left_wrist_pitch_vel,left_wrist_yaw_vel,right_shoulder_pitch_vel,right_shoulder_roll_vel,right_shoulder_yaw_vel,right_elbow_vel,right_wrist_roll_vel,right_wrist_pitch_vel,right_wrist_yaw_vel,left_thumb_rot, left_thumb_prox, left_thumb_dist, left_middle_prox, left_middle_dist, left_index_prox, left_index_dist,right_thumb_rot, right_thumb_prox, right_thumb_dist, right_middle_prox, right_middle_dist, right_index_prox, right_index_dist
34.210000,0.119567,0.022950,1.061994,1.255336,-1.506693,0.065785,0.583496,0.051328,0.075165,-1.203396,1.321321,1.086574,-0.233679,0.149157,-0.006136,-0.013806,0.000000,0.006136,-0.015340,0.014726,-0.000982,-0.001534,0.016874,-0.001534,0.004602,-0.009204,0.005890,-0.008836,-0.030351,0.669684,1.526246,-1.622567,-1.763255,-1.616487,-1.786302,1.005022,-1.153501,0.211808,1.501642,1.686973,1.506818,1.724331
34.212000,0.119591,0.022950,1.061994,1.255312,-1.506705,0.065769,0.583488,0.051328,0.075153,-1.203396,1.321309,1.086574,-0.233687,0.149157,0.006136,-0.013806,0.004602,-0.007670,-0.009204,0.003927,-0.004909,0.000000,0.000000,0.012272,0.001534,0.000000,-0.000982,0.000000,-0.030351,0.669684,1.526246,-1.622567,-1.763255,-1.616487,-1.786302,1.005022,-1.153501,0.211808,1.501642,1.686973,1.506818,1.724331
34.214000,0.119579,0.022950,1.061994,1.255336,-1.506681,0.065777,0.583480,0.051316,0.075141,-1.203420,1.321285,1.086574,-0.233687,0.149149,-0.012272,-0.010738,0.018408,0.003068,0.012272,-0.004909,-0.009817,0.006136,-0.006136,0.009204,-0.013806,0.000000,0.000982,-0.008836,-0.030351,0.669684,1.526246,-1.622567,-1.763255,-1.616487,-1.786302,1.005019,-1.153502,0.211802,1.501644,1.686974,1.506809,1.724335
34.216000,0.119603,0.022938,1.061970,1.255324,-1.506693,0.065777,0.583488,0.051328,0.075153,-1.203420,1.321333,1.086574,-0.233687,0.149157,-0.003068,0.003068,0.003068,0.000000,0.004602,0.010799,0.004909,0.012272,0.000000,0.006136,0.001534,0.000000,0.000000,0.000982,-0.030351,0.669684,1.526246,-1.622567,-1.763255,-1.616487,-1.786302,1.005019,-1.153502,0.211802,1.501644,1.686974,1.506809,1.724335
34.218000,0.119615,0.022938,1.061982,1.255336,-1.506705,0.065785,0.583488,0.051328,0.075165,-1.203432,1.321309,1.086598,-0.233679,0.149157,0.004602,0.001534,0.007670,0.012272,0.000000,0.014726,0.000982,0.001534,0.000000,0.001534,-0.016874,0.003068,0.005890,0.001963,-0.030351,0.669684,1.526246,-1.622567,-1.763255,-1.616487,-1.786302,1.005019,-1.153502,0.211802,1.501644,1.686974,1.506809,1.724335
34.220000,0.119603,0.022938,1.061970,1.255312,-1.506693,0.065777,0.583480,0.051328,0.075153,-1.203396,1.321333,1.086574,-0.233687,0.149157,-0.003068,0.003068,0.000000,0.003068,0.013806,0.002945,-0.006872,0.000000,-0.009204,0.019942,0.001534,-0.009204,0.005890,0.001963,-0.030351,0.669684,1.526246,-1.622567,-1.763255,-1.616487,-1.786302,1.005019,-1.153502,0.211802,1.501644,1.686974,1.506809,1.724335
34.222000,0.119591,0.022938,1.061970,1.255300,-1.506717,0.065785,0.583480,0.051304,0.075165,-1.203396,1.321321,1.086574,-0.233679,0.149157,-0.012272,0.000000,0.003068,-0.003068,-0.012272,0.014726,-0.011781,-0.009204,-0.006136,0.004602,0.003068,-0.006136,0.006872,0.002945,-0.030351,0.669684,1.526246,-1.622567,-1.763255,-1.616487,-1.786302,1.005019,-1.153502,0.211802,1.501644,1.686974,1.506809,1.724335
34.224000,0.119603,0.022938,1.061970,1.255324,-1.506705,0.065777,0.583488,0.051364,0.075153,-1.203456,1.321321,1.086598,-0.233687,0.149157,0.000000,0.001534,-0.001534,0.007670,-0.001534,0.006872,0.003927,0.016874,-0.007670,-0.004602,0.001534,0.000000,-0.018653,0.001963,-0.030351,0.669684,1.526246,-1.622567,-1.763255,-1.616487,-1.786302,1.005019,-1.153502,0.211802,1.501644,1.686974,1.506809,1.724335
34.226000,0.119603,0.022938,1.062006,1.255324,-1.506693,0.065777,0.583480,0.051376,0.075165,-1.203456,1.321321,1.086598,-0.233694,0.149149,0.000000,0.003068,0.007670,0.012272,-0.010738,0.000982,-0.010799,0.023010,-0.004602,-0.001534,0.004602,0.000000,-0.013744,-0.006872,-0.030351,0.669684,1.526246,-1.622567,-1.763255,-1.616487,-1.786302,1.005019,-1.153502,0.211802,1.501644,1.686974,1.506809,1.724335
34.228000,0.119567,0.022938,1.062042,1.255312,-1.506681,0.065769,0.583480,0.051352,0.075129,-1.203432,1.321309,1.086598,-0.233679,0.149157,-0.012272,0.000000,0.012272,-0.006136,0.003068,-0.002945,-0.002945,0.003068,-0.009204,0.004602,0.006136,0.001534,0.002945,0.002945,-0.030351,0.669684,1.526246,-1.622567,-1.763255,-1.616487,-1.786302,1.005019,-1.153502,0.211802,1.501644,1.686974,1.506809,1.724335
34.230000,0.119591,0.022938,1.062018,1.255300,-1.506705,0.065777,0.583480,0.051328,0.075129,-1.203420,1.321321,1.086562,-0.233679,0.149157,0.000000,-0.001534,0.006136,-0.010738,-0.003068,0.002945,0.000000,0.000000,-0.001534,-0.010738,-0.001534,-0.012272,0.006872,0.000982,-0.030351,0.669684,1.526246,-1.622567,-1.763255,-1.616487,-1.786302,1.005019,-1.153502,0.211802,1.501644,1.686974,1.506809,1.724335
34.232000,0.119579,0.022914,1.061994,1.255312,-1.506693,0.065769,0.583480,0.051352,0.075129,-1.203396,1.321321,1.086574,-0.233687,0.149157,-0.003068,0.000000,0.000000,-0.007670,-0.023010,-0.010799,0.000000,0.012272,0.000000,0.006136,0.004602,0.001534,-0.000982,-0.000982,-0.030351,0.669684,1.526246,-1.622567,-1.763255,-1.616487,-1.786302,1.005019,-1.153502,0.211802,1.501644,1.686974,1.506809,1.724335
34.234000,0.119567,0.022914,1.061994,1.255312,-1.506669,0.065777,0.583473,0.051352,0.075153,-1.203396,1.321321,1.086574,-0.233687,0.149149,0.000000,0.000000,0.003068,0.003068,0.001534,0.000000,-0.003927,0.001534,0.007670,0.000000,0.000000,0.007670,-0.005890,-0.006872,-0.030351,0.669684,1.526246,-1.622567,-1.763255,-1.616487,-1.786302,1.005019,-1.153502,0.211802,1.501644,1.686974,1.506809,1.724335
